company,year,variable,value
AIG,2019,Total Revenues,"49,746"
AIG,2019,Total Revenues,"47,389"
AIG,2019,Total Revenues,"49,520"
AIG,2019,Total Revenues,"48,802"
AIG,2019,Total Revenues,"46,506"
AIG,2019,Net Income,"3,701"
AIG,2019,Net Income,"3,348"
AIG,2019,Net Income,"3,326"
AIG,2019,Net Income,"3,268"
AIG,2019,Net Income,"4,169"
AIG,2019,Business Segment,North America
AIG,2019,Business Segment,International
AIG,2019,Business Segment,Individual Retirement
AIG,2019,Business Segment,Group Retirement
AIG,2019,Business Segment,Life Insurance
